MID,LEFT,RIGHT
3142,2747,2315
3144,2745,2322
3137,2745,2321
3139,2749,2323
3135,2751,2324
3143,2744,2319
3136,2748,2316
3136,2742,2308
3133,2740,2303
3128,2730,2299
3128,2725,2293
3124,2722,2290
3112,2719,2287
3113,2714,2280
3112,2713,2278
3117,2708,2278
3113,2713,2278
3111,2715,2278
3112,2719,2273
3107,2719,2271
3106,2722,2270
3107,2725,2273
3107,2730,2274
3114,2736,2275
3112,2739,2280
3113,2739,2281
3105,2747,2283
3104,2753,2280
3103,2761,2277
3102,2762,2276
3101,2757,2271
3097,2756,2275
3089,2751,2275
3088,2751,2278
3085,2748,2283
3087,2739,2285
3085,2732,2283
3078,2727,2283
3073,2728,2281
3071,2726,2281
3067,2726,2282
3061,2725,2288
3054,2722,2291
3052,2721,2295
3045,2720,2298
3044,2719,2298
3042,2728,2296
3041,2734,2296
3044,2746,2298
3046,2753,2303
3045,2757,2305
3044,2758,2304
3037,2759,2300
3039,2762,2299
3037,2763,2302
3038,2762,2299
3037,2766,2302
3039,2766,2300
3042,2766,2292
3045,2762,2287
3048,2760,2282
3042,2758,2282
3040,2754,2278
3039,2752,2276
3034,2746,2271
3029,2740,2267
3018,2745,2264
3013,2748,2267
3009,2751,2269
3012,2754,2272
3011,2754,2276
3009,2759,2281
3004,2765,2287
3009,2776,2296
3014,2786,2304
3021,2796,2309
3023,2800,2310
3024,2802,2308
3022,2809,2306
3020,2810,2307
3020,2808,2311
3020,2801,2308
3009,2796,2306
3009,2793,2304
3006,2792,2302
3007,2793,2297
3010,2797,2294
3012,2797,2294
3014,2799,2291
3011,2799,2290
3010,2802,2288
3009,2811,2289
3005,2820,2293
3004,2824,2301
3005,2829,2307
3002,2822,2312
3002,2821,2318
3003,2819,2320
3006,2819,2323
3001,2821,2326
3004,2817,2329
3004,2816,2330
3000,2813,2329
3004,2818,2325
3001,2827,2321
3001,2833,2322
3002,2836,2320
3004,2837,2320
3008,2839,2323
3009,2842,2322
3013,2844,2318
3013,2849,2320
3008,2847,2323
3010,2845,2328
3002,2840,2335
3000,2833,2338
3000,2838,2345
2998,2843,2352
3001,2849,2356
3004,2858,2359
3012,2861,2359
3016,2865,2357
3016,2864,2354
3022,2865,2350
3020,2865,2346
3016,2859,2341
3013,2858,2340
3008,2852,2341
3004,2848,2337
2994,2843,2338
2987,2840,2337
2981,2838,2340
2978,2839,2345
2983,2844,2349
2989,2849,2354
2995,2853,2355
3002,2863,2357
3006,2867,2359
3014,2868,2360
3015,2868,2362
3018,2862,2361
3019,2862,2358
3017,2862,2354
3016,2865,2350
3012,2869,2351
3007,2867,2347
3007,2874,2356
3002,2875,2363
3002,2877,2367
2997,2882,2371
2998,2884,2374
3001,2893,2378
3003,2898,2380
3010,2896,2385
3014,2897,2384
3014,2897,2382
3017,2898,2382
3018,2896,2382
3023,2896,2380
3020,2896,2378
3017,2894,2373
3014,2894,2367
3006,2890,2362
3004,2890,2361
2999,2891,2363
2994,2894,2363
2993,2896,2364
2992,2895,2365
2998,2893,2367
2996,2897,2371
3002,2900,2375
3007,2905,2381
3006,2900,2387
3013,2898,2393
3015,2895,2398
3013,2889,2396
3017,2892,2393
3018,2892,2390
3025,2894,2388
3020,2894,2392
3021,2890,2395
3020,2888,2395
3017,2882,2395
3023,2883,2393
3028,2884,2392
3033,2882,2388
3040,2888,2389
3042,2884,2393
3049,2883,2395
3046,2889,2397
3048,2891,2399
3050,2900,2398
3045,2900,2394
3044,2902,2399
3042,2905,2400
3036,2904,2394
3040,2909,2393
3039,2912,2393
3046,2916,2395
3045,2921,2399
3042,2922,2401
3040,2927,2402
3039,2920,2402
3047,2916,2405
3053,2915,2413
3052,2911,2410
3054,2908,2413
3052,2907,2413
3057,2906,2412
3052,2913,2415
3053,2917,2420
3053,2925,2423
3051,2922,2428
3054,2922,2425
3053,2923,2425
3048,2922,2419
3050,2924,2419
3049,2921,2417
3057,2918,2415
3051,2921,2414
3055,2922,2413
3057,2932,2414
3057,2933,2417
3061,2943,2417
3062,2951,2421
3059,2955,2412
3063,2958,2410
3064,2960,2414
3074,2960,2422
3075,2963,2433
3081,2964,2441
3087,2972,2450
3090,2970,2461
3098,2971,2470
3105,2972,2481
3107,2973,2481
3116,2976,2481
3114,2977,2481
3119,2975,2480
3113,2975,2481
3114,2974,2479
3117,2979,2472
3117,2972,2465
3117,2972,2463
3113,2973,2466
3106,2971,2464
3106,2975,2465
3105,2973,2475
3113,2974,2473
3108,2979,2480
3107,2984,2488
3108,2998,2495
3107,3003,2498
3105,3011,2500
3112,3016,2504
3111,3017,2502
3115,3020,2503
3113,3019,2505
3119,3016,2501
3110,3020,2501
3112,3020,2493
3106,3022,2488
3104,3014,2489
3108,3014,2490
3110,3015,2498
3106,3016,2497
3109,3024,2500
3110,3027,2507
3119,3028,2513
3115,3036,2518
3378,3163,2647
3379,3159,2645
3386,3157,2650
3388,3154,2650
3397,3151,2647
3395,3157,2648
3402,3155,2645
3409,3158,2645
3407,3149,2643
3406,3142,2642
3401,3137,2639
3393,3130,2632
