Time [s],SW,BUZ
0.000000000,1,0
2.387693562,0,0
2.387697063,1,0
2.387786750,0,0
2.387840125,1,0
2.387840188,0,0
2.387843500,1,0
2.387843563,0,0
2.387843875,1,0
2.387844438,0,0
2.387845500,1,0
2.387845562,0,0
2.387845813,1,0
2.387846500,0,0
2.387846688,1,0
2.387847938,0,0
2.387858250,1,0
2.387858313,0,0
2.387908187,1,0
2.387916375,0,0
2.387932688,1,0
2.387932812,0,0
2.387936375,1,0
2.387936438,0,0
2.387940313,1,0
2.387940375,0,0
2.387949375,1,0
2.387949500,0,0
2.387960250,1,0
2.387960500,0,0
2.387964312,1,0
2.387964812,0,0
2.388106625,0,1
2.389108125,0,0
2.390107813,0,1
2.391109375,0,0
2.392109062,0,1
2.393110625,0,0
2.394110313,0,1
2.395111875,0,0
2.396111562,0,1
2.397113062,0,0
2.398112812,0,1
2.399114313,0,0
2.400114000,0,1
2.401115562,0,0
2.402115250,0,1
2.403116812,0,0
2.404116500,0,1
2.405118000,0,0
2.406117750,0,1
2.407119250,0,0
2.408118937,0,1
2.409120500,0,0
2.410120188,0,1
2.411121750,0,0
2.412121438,0,1
2.413122937,0,0
2.414122687,0,1
2.415124188,0,0
2.416123938,0,1
2.417125438,0,0
2.418125125,0,1
2.419126687,0,0
2.420126375,0,1
2.421127938,0,0
2.422127625,0,1
2.423129125,0,0
2.424128875,0,1
2.425130375,0,0
2.426130062,0,1
2.427131625,0,0
2.428131313,0,1
2.429132875,0,0
2.430132562,0,1
2.431134125,0,0
2.432133813,0,1
2.433135313,0,0
2.434135063,0,1
2.435136562,0,0
2.436136250,0,1
2.437137813,0,0
2.438137500,0,1
2.439139062,0,0
2.440138750,0,1
2.441140250,0,0
2.442140000,0,1
2.443141500,0,0
2.444141250,0,1
2.445142750,0,0
2.446142437,0,1
2.447144000,0,0
2.448143687,0,1
2.449145250,0,0
2.450144938,0,1
2.451146437,0,0
2.452146187,0,1
2.453147688,0,0
2.454147375,0,1
2.455148938,0,0
2.456148625,0,1
2.457150187,0,0
2.458149875,0,1
2.459151375,0,0
2.460151125,0,1
2.461152625,0,0
2.462152375,0,1
2.463153875,0,0
2.464153562,0,1
2.465155125,0,0
2.466154813,0,1
2.467156375,0,0
2.468156062,0,1
2.469157625,0,0
2.470157313,0,1
2.470830312,1,1
2.470831750,0,1
2.471164562,0,0
2.472164250,0,1
2.473165813,0,0
2.473171938,1,0
2.473183812,0,0
2.473504375,0,1
2.474172563,0,0
2.474838937,0,1
2.475507187,0,0
2.476173563,0,1
2.476841813,0,0
2.477508187,0,1
2.477779750,1,1
2.478176375,1,0
2.478842750,1,1
2.479511000,1,0
2.480177375,1,1
2.480845625,1,0
2.481512000,1,1
2.482180250,1,0
2.482846562,1,1
2.483514813,1,0
2.484181187,1,1
2.484849437,1,0
2.485515750,1,1
2.486184000,1,0
2.486850375,1,1
2.487518625,1,0
2.488185000,1,1
2.488853250,1,0
2.489519562,1,1
2.490187812,1,0
2.490854188,1,1
2.491522437,1,0
2.492188812,1,1
2.492857000,1,0
2.493523375,1,1
2.494191625,1,0
2.494858000,1,1
2.495526250,1,0
2.496192625,1,1
2.496860813,1,0
2.497527187,1,1
2.498195438,1,0
2.498861812,1,1
2.499530062,1,0
2.500196375,1,1
2.500864688,1,0
2.501531000,1,1
2.502199250,1,0
2.502865625,1,1
2.503533813,1,0
2.504200187,1,1
2.504868437,1,0
2.505534813,1,1
2.506203063,1,0
2.506869437,1,1
2.507537625,1,0
2.508204000,1,1
2.508872250,1,0
2.509538625,1,1
2.510206875,1,0
2.510873250,1,1
2.511541438,1,0
2.512207812,1,1
2.512876063,1,0
3.463832813,0,0
3.464154688,0,1
3.464622875,0,0
3.465155938,0,1
3.465624188,0,0
3.466157250,0,1
3.466625500,0,0
3.467158500,0,1
3.467626750,0,0
3.468159813,0,1
3.468160000,1,1
3.468160188,0,1
3.468566562,0,0
3.468966250,0,1
3.469367875,0,0
3.469767562,0,1
3.470169125,0,0
3.470568875,0,1
3.470970438,0,0
3.471370187,0,1
3.471771687,0,0
3.472171438,0,1
3.472573000,0,0
3.472972750,0,1
3.473374312,0,0
3.473774062,0,1
3.474175625,0,0
3.474575312,0,1
3.474976875,0,0
3.475376625,0,1
3.475778188,0,0
3.476177938,0,1
3.476579500,0,0
3.476979250,0,1
3.477380812,0,0
3.477780500,0,1
3.478182063,0,0
3.478581812,0,1
3.478983375,0,0
3.479383125,0,1
3.479784688,0,0
3.480184375,0,1
3.480585937,0,0
3.480985688,0,1
3.481387250,0,0
3.481787000,0,1
3.482188563,0,0
3.482588312,0,1
3.482989813,0,0
3.483389563,0,1
3.483791125,0,0
3.484190875,0,1
3.484592437,0,0
3.484992188,0,1
3.485393750,0,0
3.485793437,0,1
3.486195000,0,0
3.486594750,0,1
3.486996313,0,0
3.487396062,0,1
3.487797625,0,0
3.488197313,0,1
3.488598875,0,0
3.488998625,0,1
3.489400187,0,0
3.489799937,0,1
3.490201500,0,0
3.490601250,0,1
3.491002875,0,0
3.491402500,0,1
3.491804125,0,0
3.492203813,0,1
3.492605375,0,0
3.493005125,0,1
3.493406687,0,0
3.493806375,0,1
3.494207938,0,0
3.494607687,0,1
3.495009250,0,0
3.495409000,0,1
3.495810562,0,0
3.496210313,0,1
3.496611875,0,0
3.497011563,0,1
3.497413125,0,0
3.497812875,0,1
3.498214438,0,0
3.498614187,0,1
3.499015750,0,0
3.499415438,0,1
3.499817000,0,0
3.500216750,0,1
3.500618375,0,0
3.501018063,0,1
3.501419625,0,0
3.501819375,0,1
3.502220938,0,0
3.502620625,0,1
3.503022188,0,0
3.503421938,0,1
3.503823500,0,0
3.504223250,0,1
3.504624812,0,0
3.505024500,0,1
3.505426063,0,0
3.505825812,0,1
3.506227375,0,0
3.506627125,0,1
3.507028688,0,0
3.507428438,0,1
3.507829937,0,0
3.508229688,0,1
3.508631250,0,0
3.509031000,0,1
3.509432562,0,0
3.509832312,0,1
3.510233875,0,0
3.510633562,0,1
3.511035125,0,0
3.511434875,0,1
3.511836500,0,0
3.512236188,0,1
3.512637750,0,0
3.513037500,0,1
3.513439000,0,0
3.513838750,0,1
3.514240313,0,0
3.514640062,0,1
3.515041625,0,0
3.515441375,0,1
3.515842937,0,0
3.516242625,0,1
3.516644187,0,0
3.517043937,0,1
3.517445500,0,0
3.517845250,0,1
3.518246813,0,0
3.518646562,0,1
3.519048063,0,0
3.519447813,0,1
3.519849375,0,0
3.520249125,0,1
3.520650687,0,0
3.521050438,0,1
3.521451938,0,0
3.521851687,0,1
3.522253250,0,0
3.522653000,0,1
3.523054563,0,0
3.523454313,0,1
3.523855875,0,0
3.524255625,0,1
3.524657125,0,0
3.525056875,0,1
3.525458438,0,0
3.525858187,0,1
3.526259750,0,0
3.526659500,0,1
3.527061063,0,0
3.527460750,0,1
3.527862312,0,0
3.528262063,0,1
3.528663625,0,0
3.529063375,0,1
3.529464937,0,0
3.529864687,0,1
3.530266188,0,0
3.530665937,0,1
3.531067437,0,0
3.531467250,0,1
3.531868812,0,0
