Time [s],SW,BUZ
0.000000000,1,0
2.781900938,0,0
2.781905688,1,0
2.781905812,0,0
2.781906625,1,0
2.781920937,0,0
2.781960188,1,0
2.781960875,0,0
2.782161312,0,1
2.783162813,0,0
2.784162500,0,1
2.785164062,0,0
2.786163750,0,1
2.787165250,0,0
2.788165000,0,1
2.789166500,0,0
2.790166250,0,1
2.791167750,0,0
2.792167437,0,1
2.793169000,0,0
2.794168688,0,1
2.795170250,0,0
2.796169938,0,1
2.797171437,0,0
2.798171187,0,1
2.799172688,0,0
2.800172375,0,1
2.801173938,0,0
2.802173625,0,1
2.803175187,0,0
2.804174875,0,1
2.805176375,0,0
2.806176125,0,1
2.807177625,0,0
2.808177375,0,1
2.809178875,0,0
2.810178562,0,1
2.811180125,0,0
2.812179813,0,1
2.813181375,0,0
2.814181062,0,1
2.815182562,0,0
2.816182313,0,1
2.817183813,0,0
2.818183500,0,1
2.819185062,0,0
2.820184750,0,1
2.821186313,0,0
2.822186000,0,1
2.823187562,0,0
2.824187250,0,1
2.825188875,0,0
2.826188500,0,1
2.827190000,0,0
2.828189688,0,1
2.829191250,0,0
2.830190937,0,1
2.831192500,0,0
2.832192188,0,1
2.833193688,0,0
2.834193438,0,1
2.835194937,0,0
2.836194625,0,1
2.837196188,0,0
2.838195875,0,1
2.839197438,0,0
2.840197125,0,1
2.841198687,0,0
2.842198375,0,1
2.843199875,0,0
2.844199625,0,1
2.845201187,0,0
2.846200812,0,1
2.847202375,0,0
2.848202062,0,1
2.849203625,0,0
2.850203313,0,1
2.851204812,0,0
2.852204562,0,1
2.853206062,0,0
2.854205750,0,1
2.855207313,0,0
2.856207000,0,1
2.857208562,0,0
2.858208250,0,1
2.859209750,0,0
2.860209500,0,1
2.861211000,0,0
2.862210750,0,1
2.863212250,0,0
2.864211937,0,1
2.865213500,0,0
2.866213188,0,1
2.867214688,0,0
2.868214437,0,1
2.869215937,0,0
2.870215688,0,1
2.871217188,0,0
2.872216875,0,1
2.873218437,0,0
2.874218125,0,1
2.875219688,0,0
2.876219375,0,1
2.877220875,0,0
