Time [s],SW,BUZ
0.000000000,1,0
4.627967437,0,0
4.627967500,1,0
4.627972687,0,0
4.627993812,1,0
4.627994500,0,0
4.627998188,1,0
4.627998250,0,0
4.628002375,1,0
4.628002562,0,0
4.628002688,1,0
4.628016125,0,0
4.628018875,1,0
4.628096875,0,0
4.628099375,1,0
4.628099500,0,0
4.628101313,1,0
4.628110937,0,0
4.628179688,1,0
4.628179750,0,0
4.628181438,1,0
4.628181563,0,0
4.628184812,1,0
4.628184875,0,0
4.628192500,1,0
4.628192688,0,0
4.628205187,1,0
4.628205250,0,0
4.628224500,1,0
4.628226125,0,0
4.628234687,1,0
4.628238687,0,0
4.628238750,1,0
4.628241375,0,0
4.628267187,1,0
4.628267313,0,0
4.628269375,1,0
4.628272188,0,0
4.628282937,1,0
4.628304500,0,0
4.628366500,1,0
4.628366625,0,0
4.628522500,0,1
4.628550000,1,1
4.628551437,0,1
4.628609875,1,1
4.628611250,0,1
4.628625500,1,1
4.628625687,0,1
4.628644125,1,1
4.628657312,0,1
4.628661750,1,1
4.628662438,0,1
4.628702438,1,1
4.628714125,0,1
4.628815562,1,1
4.628815688,0,1
4.628815750,1,1
4.628816063,0,1
4.629190750,0,0
4.629857125,0,1
4.630525312,0,0
4.630525562,0,1
4.630525625,0,0
4.631191688,0,1
4.631859937,0,0
4.632526312,0,1
4.633194500,0,0
4.633860875,0,1
4.634529125,0,0
4.635195500,0,1
4.635863687,0,0
4.636530125,0,1
4.637198312,0,0
4.637864687,0,1
4.638532937,0,0
4.639199312,0,1
4.639867500,0,0
4.640533938,0,1
4.641202125,0,0
4.641868500,0,1
4.642536750,0,0
4.643203125,0,1
4.643871312,0,0
4.644537687,0,1
4.645205938,0,0
4.645872312,0,1
4.646540563,0,0
4.647206938,0,1
4.647875125,0,0
4.648541500,0,1
4.649209750,0,0
4.649876125,0,1
4.650544313,0,0
4.651210750,0,1
4.651878938,0,0
4.652545313,0,1
4.653213563,0,0
4.799050500,1,0
4.799051125,0,0
4.799583437,0,1
4.800251625,0,0
4.800918000,0,1
4.801586250,0,0
4.802252625,0,1
4.802920813,0,0
4.803587187,0,1
4.804255438,0,0
4.804921812,0,1
4.804922000,1,1
4.805590063,1,0
4.806256438,1,1
4.806924625,1,0
4.807591000,1,1
4.808259250,1,0
4.808925625,1,1
4.809593875,1,0
4.810260250,1,1
4.810928438,1,0
4.811594813,1,1
4.812263062,1,0
4.812929438,1,1
4.813597687,1,0
4.814264000,1,1
4.814932250,1,0
4.815598625,1,1
4.816266875,1,0
4.816933250,1,1
4.817601500,1,0
4.818267813,1,1
4.818936062,1,0
4.819602438,1,1
4.820270687,1,0
4.820937062,1,1
4.821605250,1,0
4.822271625,1,1
4.822939875,1,0
4.823606250,1,1
4.824274500,1,0
4.824940875,1,1
4.825609062,1,0
4.826275437,1,1
4.826943688,1,0
4.827610062,1,1
4.828278313,1,0
4.828944625,1,1
4.829612812,1,0
4.830279250,1,1
4.830947500,1,0
4.831613875,1,1
4.832282063,1,0
4.832948437,1,1
4.833616688,1,0
4.834283062,1,1
4.834951313,1,0
4.835617688,1,1
4.836285875,1,0
4.836952250,1,1
4.837620500,1,0
4.838286875,1,1
4.838955125,1,0
4.839621437,1,1
4.840289688,1,0
4.840956063,1,1
4.841624250,1,0
4.842290688,1,1
4.842958875,1,0
4.843625250,1,1
4.844293500,1,0
4.844959875,1,1
4.845628125,1,0
4.846294500,1,1
4.846962687,1,0
4.847629063,1,1
4.848297312,1,0
4.848963688,1,1
4.849631937,1,0
4.850298250,1,1
4.850966500,1,0
4.851632875,1,1
4.852301125,1,0
4.852967500,1,1
4.853635687,1,0
4.854302063,1,1
4.854970312,1,0
4.855636687,1,1
4.856304938,1,0
4.856971312,1,1
4.857639500,1,0
4.858305875,1,1
4.858974125,1,0
4.859640500,1,1
4.860308750,1,0
4.860975125,1,1
4.861643375,1,0
4.862309687,1,1
4.862977938,1,0
4.863644312,1,1
4.864312563,1,0
4.864978875,1,1
4.865647125,1,0
4.866313500,1,1
4.866981750,1,0
4.867648125,1,1
4.868316313,1,0
4.868982687,1,1
4.869650938,1,0
4.870317313,1,1
4.870985437,1,0
4.870985625,1,1
4.870985688,1,0
4.871651937,1,1
4.872320125,1,0
4.872986500,1,1
4.873654750,1,0
4.874321125,1,1
4.874989375,1,0
4.875655688,1,1
4.876323937,1,0
4.876990313,1,1
4.877658562,1,0
4.878324938,1,1
4.878993187,1,0
4.879659500,1,1
4.880327750,1,0
4.880994125,1,1
4.881662375,1,0
4.882328750,1,1
4.882996937,1,0
4.883663313,1,1
4.884331562,1,0
4.884997937,1,1
4.885666188,1,0
4.886332562,1,1
4.887000750,1,0
4.887667125,1,1
4.888335375,1,0
4.889001750,1,1
4.889670000,1,0
4.890336312,1,1
4.891004563,1,0
4.891670937,1,1
4.892339188,1,0
4.893005562,1,1
4.893673750,1,0
4.894340125,1,1
4.895008375,1,0
4.895674750,1,1
4.896343000,1,0
4.897009375,1,1
4.897677563,1,0
4.898343937,1,1
4.899012188,1,0
4.899678563,1,1
4.900346812,1,0
4.901013125,1,1
4.901681313,1,0
4.902347750,1,1
4.903016000,1,0
4.903682375,1,1
4.904350625,1,0
4.905016938,1,1
4.905685187,1,0
4.906351563,1,1
4.907019812,1,0
4.907686188,1,1
4.908354375,1,0
4.909020750,1,1
4.909689000,1,0
4.910355375,1,1
4.911023625,1,0
4.911690000,1,1
4.912358187,1,0
4.913024563,1,1
4.913692812,1,0
4.914359187,1,1
4.915027438,1,0
4.915693750,1,1
4.916362000,1,0
4.917028375,1,1
4.917696625,1,0
4.918363000,1,1
4.919031187,1,0
4.919697562,1,1
4.920365813,1,0
4.921032187,1,1
4.921700438,1,0
4.922366812,1,1
4.923035000,1,0
4.923701375,1,1
5.566142375,0,1
5.566429625,0,0
5.567096000,0,1
5.567764187,0,0
5.568430625,0,1
5.569098813,0,0
5.569765187,0,1
5.570433438,0,0
5.571099812,0,1
5.571768000,0,0
5.572434438,0,1
5.573102625,0,0
5.573769000,0,1
5.574437250,0,0
5.575103625,0,1
5.575771813,0,0
5.576438250,0,1
5.577106438,0,0
5.577772813,0,1
5.578441000,0,0
5.579107438,0,1
5.579775625,0,0
5.580442000,0,1
5.581110250,0,0
5.581776625,0,1
5.582444812,0,0
5.583111250,0,1
5.583779437,0,0
5.584445813,0,1
5.585114062,0,0
5.585780438,0,1
5.586448625,0,0
5.587115062,0,1
5.587783250,0,0
5.588449625,0,1
5.589117875,0,0
5.589784250,0,1
5.590452437,0,0
5.591118875,0,1
5.591787062,0,0
5.592453437,0,1
5.593121625,0,0
5.593788062,0,1
5.594456250,0,0
5.595122625,0,1
5.595790875,0,0
5.596457250,0,1
5.597125437,0,0
5.597791875,0,1
5.598460063,0,0
5.599126437,0,1
5.599794688,0,0
5.600461062,0,1
5.601129250,0,0
5.601795688,0,1
5.602463812,0,0
5.603130250,0,1
5.603798438,0,0
5.604464875,0,1
5.605133063,0,0
5.605799437,0,1
5.606467688,0,0
5.607134063,0,1
5.607802250,0,0
5.608468688,0,1
5.609136875,0,0
5.609803250,0,1
5.610471500,0,0
5.611137875,0,1
5.611806063,0,0
5.612472500,0,1
5.613140687,0,0
5.613807063,0,1
5.614475312,0,0
5.615141688,0,1
5.615809875,0,0
5.616476250,0,1
5.617144500,0,0
5.617810875,0,1
5.618479062,0,0
5.619145500,0,1
5.619813687,0,0
5.620480063,0,1
5.621148312,0,0
5.621814687,0,1
5.622482875,0,0
5.623149312,0,1
5.623817500,0,0
5.624483875,0,1
5.625152125,0,0
5.625818500,0,1
5.626486687,0,0
5.627153125,0,1
5.627821313,0,0
5.628487687,0,1
5.629155938,0,0
5.629822312,0,1
5.630490500,0,0
5.631156875,0,1
5.631825125,0,0
5.632491500,0,1
5.633159688,0,0
5.633826125,0,1
5.634494313,0,0
5.635160687,0,1
5.635828938,0,0
5.636495313,0,1
5.637163500,0,0
